discharge_date,facility_id,unit_id,discharges,oob_cases,post_ready_hard_cap_cases,median_los_hours,median_post_ready_delay_hours,oob_rate,centerline_oob_rate,sigma_oob_rate,upper_control_limit,control_chart_signal_flag,top_blocker,estimated_bed_days_recoverable
2026-01-04,FAC_000,cardiac,1,0,0,72.83,13.85,0.0,0.08979073440118496,0.13107876299812316,0.4830270233955544,False,computed_after_attribution,
2026-01-05,FAC_000,acute_medicine,3,0,0,108.74,8.05,0.0,0.119843385840765,0.1701452439131562,0.6302791175802336,False,computed_after_attribution,
2026-01-05,FAC_000,cardiac,9,0,0,95.51,13.49,0.0,0.08979073440118496,0.13107876299812316,0.4830270233955544,False,computed_after_attribution,
2026-01-05,FAC_000,surgical,8,0,0,102.4,15.280000000000001,0.0,0.11604679502763823,0.1755863818707879,0.642805940640002,False,computed_after_attribution,
2026-01-06,FAC_000,acute_medicine,13,0,0,118.45,16.92,0.0,0.119843385840765,0.1701452439131562,0.6302791175802336,False,computed_after_attribution,
2026-01-06,FAC_000,cardiac,10,0,0,100.07,16.18,0.0,0.08979073440118496,0.13107876299812316,0.4830270233955544,False,computed_after_attribution,
2026-01-06,FAC_000,orthopedics,4,0,0,130.54000000000002,16.405,0.0,0.10384996529354609,0.15824783756808167,0.578593477997791,False,computed_after_attribution,
2026-01-06,FAC_000,respiratory,8,0,0,122.05000000000001,15.16,0.0,0.1142180931495121,0.1500133692493105,0.5642582008974436,False,computed_after_attribution,
2026-01-06,FAC_000,surgical,11,0,0,106.93,11.56,0.0,0.11604679502763823,0.1755863818707879,0.642805940640002,False,computed_after_attribution,
2026-01-07,FAC_000,acute_medicine,27,0,0,126.69,16.15,0.0,0.119843385840765,0.1701452439131562,0.6302791175802336,False,computed_after_attribution,
2026-01-07,FAC_000,cardiac,8,0,0,117.485,17.869999999999997,0.0,0.08979073440118496,0.13107876299812316,0.4830270233955544,False,computed_after_attribution,
2026-01-07,FAC_000,orthopedics,7,0,0,131.26,13.21,0.0,0.10384996529354609,0.15824783756808167,0.578593477997791,False,computed_after_attribution,
2026-01-07,FAC_000,respiratory,13,0,0,125.12,13.51,0.0,0.1142180931495121,0.1500133692493105,0.5642582008974436,False,computed_after_attribution,
2026-01-07,FAC_000,surgical,16,0,0,112.88,18.18,0.0,0.11604679502763823,0.1755863818707879,0.642805940640002,False,computed_after_attribution,
2026-01-07,FAC_000,transitional_care,5,0,0,149.15,12.48,0.0,0.13634529333126225,0.18737710746280029,0.698476615719663,False,computed_after_attribution,
2026-01-08,FAC_000,acute_medicine,33,1,3,124.37,18.64,0.030303030303030304,0.119843385840765,0.1701452439131562,0.6302791175802336,False,computed_after_attribution,
2026-01-08,FAC_000,cardiac,9,0,0,106.37,22.63,0.0,0.08979073440118496,0.13107876299812316,0.4830270233955544,False,computed_after_attribution,
2026-01-08,FAC_000,orthopedics,10,0,0,143.195,18.565,0.0,0.10384996529354609,0.15824783756808167,0.578593477997791,False,computed_after_attribution,
2026-01-08,FAC_000,respiratory,20,0,1,138.20499999999998,14.8,0.0,0.1142180931495121,0.1500133692493105,0.5642582008974436,False,computed_after_attribution,
2026-01-08,FAC_000,surgical,19,1,3,125.48,20.2,0.05263157894736842,0.11604679502763823,0.1755863818707879,0.642805940640002,False,computed_after_attribution,
2026-01-08,FAC_000,transitional_care,7,0,0,152.0,15.0,0.0,0.13634529333126225,0.18737710746280029,0.698476615719663,False,computed_after_attribution,
2026-01-09,FAC_000,acute_medicine,34,1,4,130.58499999999998,16.46,0.029411764705882353,0.119843385840765,0.1701452439131562,0.6302791175802336,False,computed_after_attribution,
2026-01-09,FAC_000,cardiac,11,0,1,116.19,21.76,0.0,0.08979073440118496,0.13107876299812316,0.4830270233955544,False,computed_after_attribution,
2026-01-09,FAC_000,orthopedics,11,0,0,134.75,17.53,0.0,0.10384996529354609,0.15824783756808167,0.578593477997791,False,computed_after_attribution,
2026-01-09,FAC_000,respiratory,19,3,3,142.39,17.48,0.15789473684210525,0.1142180931495121,0.1500133692493105,0.5642582008974436,False,computed_after_attribution,
2026-01-09,FAC_000,surgical,16,1,3,119.025,15.86,0.0625,0.11604679502763823,0.1755863818707879,0.642805940640002,False,computed_after_attribution,
2026-01-09,FAC_000,transitional_care,10,0,0,164.515,18.6,0.0,0.13634529333126225,0.18737710746280029,0.698476615719663,False,computed_after_attribution,
2026-01-10,FAC_000,acute_medicine,24,4,6,124.525,20.62,0.16666666666666666,0.119843385840765,0.1701452439131562,0.6302791175802336,False,computed_after_attribution,
2026-01-10,FAC_000,cardiac,17,1,1,110.92,18.49,0.058823529411764705,0.08979073440118496,0.13107876299812316,0.4830270233955544,False,computed_after_attribution,
2026-01-10,FAC_000,orthopedics,13,0,2,144.28,18.5,0.0,0.10384996529354609,0.15824783756808167,0.578593477997791,False,computed_after_attribution,
2026-01-10,FAC_000,respiratory,18,2,2,131.39499999999998,16.725,0.1111111111111111,0.1142180931495121,0.1500133692493105,0.5642582008974436,False,computed_after_attribution,
2026-01-10,FAC_000,surgical,15,1,2,128.35,23.25,0.06666666666666667,0.11604679502763823,0.1755863818707879,0.642805940640002,False,computed_after_attribution,
2026-01-10,FAC_000,transitional_care,16,0,1,170.95499999999998,20.72,0.0,0.13634529333126225,0.18737710746280029,0.698476615719663,False,computed_after_attribution,
2026-01-11,FAC_000,acute_medicine,24,1,3,132.305,17.215,0.041666666666666664,0.119843385840765,0.1701452439131562,0.6302791175802336,False,computed_after_attribution,
2026-01-11,FAC_000,cardiac,9,1,1,96.74,14.53,0.1111111111111111,0.08979073440118496,0.13107876299812316,0.4830270233955544,False,computed_after_attribution,
2026-01-11,FAC_000,orthopedics,10,0,0,145.215,14.754999999999999,0.0,0.10384996529354609,0.15824783756808167,0.578593477997791,False,computed_after_attribution,
2026-01-11,FAC_000,respiratory,23,6,7,138.76,20.28,0.2608695652173913,0.1142180931495121,0.1500133692493105,0.5642582008974436,False,computed_after_attribution,
2026-01-11,FAC_000,surgical,13,2,4,133.82,21.07,0.15384615384615385,0.11604679502763823,0.1755863818707879,0.642805940640002,False,computed_after_attribution,
2026-01-11,FAC_000,transitional_care,14,2,3,179.215,23.825,0.14285714285714285,0.13634529333126225,0.18737710746280029,0.698476615719663,False,computed_after_attribution,
2026-01-12,FAC_000,acute_medicine,36,4,7,129.345,14.56,0.1111111111111111,0.119843385840765,0.1701452439131562,0.6302791175802336,False,computed_after_attribution,
2026-01-12,FAC_000,cardiac,20,0,3,116.125,22.37,0.0,0.08979073440118496,0.13107876299812316,0.4830270233955544,False,computed_after_attribution,
2026-01-12,FAC_000,orthopedics,17,0,3,145.93,22.27,0.0,0.10384996529354609,0.15824783756808167,0.578593477997791,False,computed_after_attribution,
2026-01-12,FAC_000,respiratory,19,2,5,148.03,25.665,0.10526315789473684,0.1142180931495121,0.1500133692493105,0.5642582008974436,False,computed_after_attribution,
